curation_keyword,canonical_arxiv_id,title,published_month,primary_category,abs_url,pdf_url
rag,2607.06993,Large Behavior Model A Promptable Digital Twin of the Retail Customer,2026-07,cs.AI,https://arxiv.org/abs/2607.06993,https://arxiv.org/pdf/2607.06993
rag,2607.06964,End-to-End LLM Flight Planning with RAG-based Memory and Multi-modal Coach Agent,2026-07,cs.RO,https://arxiv.org/abs/2607.06964,https://arxiv.org/pdf/2607.06964
rag,2607.06839,LEMUR 2 Unlocking Neural Network Diversity for AI,2026-07,cs.LG,https://arxiv.org/abs/2607.06839,https://arxiv.org/pdf/2607.06839
rag,2607.06507,DynaKRAG A Unified Framework for Learnable Evidence Control in Multi-Hop Retrieval-Augmented Generation,2026-07,cs.CL,https://arxiv.org/abs/2607.06507,https://arxiv.org/pdf/2607.06507
rag,2607.06641,Healthier LLMs Retrieval-Augmented Generation for Public Health Question Answering,2026-07,cs.CL,https://arxiv.org/abs/2607.06641,https://arxiv.org/pdf/2607.06641
rag,2607.05936,Mitigating Errors in LLM-Generated Web API Invocations via Retrieval-Augmented Generation and Constrained Decoding,2026-07,cs.SE,https://arxiv.org/abs/2607.05936,https://arxiv.org/pdf/2607.05936
rag,2607.05483,PatchOptic for Shared-State LLM Workflows with Projected Views and Verified Structured Updates,2026-07,cs.LG,https://arxiv.org/abs/2607.05483,https://arxiv.org/pdf/2607.05483
rag,2607.05217,Curated retrieval versus open web search in public AI information services a coverage-trust trade-off,2026-07,cs.CY,https://arxiv.org/abs/2607.05217,https://arxiv.org/pdf/2607.05217
rag,2607.05479,Privilege and confidentiality in generative AI workflows,2026-07,cs.CR,https://arxiv.org/abs/2607.05479,https://arxiv.org/pdf/2607.05479
rag,2607.05069,MIRAGE Defending Long-Form RAG Against Misinformation Pollution,2026-07,cs.CL,https://arxiv.org/abs/2607.05069,https://arxiv.org/pdf/2607.05069
rag,2607.05055,Toward Trustworthy Large Language Model Agents in Healthcare,2026-07,cs.AI,https://arxiv.org/abs/2607.05055,https://arxiv.org/pdf/2607.05055
rag,2607.04907,Medi-Gemma A Hybrid Clinical Decision Support System Integrating Deterministic EMR Analytics and Retrieval-Augmented Generation,2026-07,cs.AI,https://arxiv.org/abs/2607.04907,https://arxiv.org/pdf/2607.04907
rag,2607.04625,Hierarchical Evidence-Driven Reasoning for Long Document Understanding,2026-07,cs.CV,https://arxiv.org/abs/2607.04625,https://arxiv.org/pdf/2607.04625
rag,2607.05456,Prompt-to-Paper Agentic AI System for Bioinformatics,2026-07,cs.AI,https://arxiv.org/abs/2607.05456,https://arxiv.org/pdf/2607.05456
rag,2607.04436,A Retrieval-Augmented Framework for Detecting and Resolving Pragmatic Ambiguities in Natural Language Requirements,2026-07,cs.SE,https://arxiv.org/abs/2607.04436,https://arxiv.org/pdf/2607.04436
rag,2607.04391,Memory-Orchestrated Semantic System (MOSS) An Auditable Agentic Memory Architecture,2026-07,cs.CL,https://arxiv.org/abs/2607.04391,https://arxiv.org/pdf/2607.04391
rag,2607.04281,Risk-Constrained Freshness-Aware Semantic Caching for Open-Web Retrieval-Augmented LLMs,2026-07,cs.CL,https://arxiv.org/abs/2607.04281,https://arxiv.org/pdf/2607.04281
rag,2607.04223,Detecting Hallucinations in Retrieval-Augmented Generation through Grounding-Aware Sensitivity by Perturbation (GASP),2026-07,cs.CL,https://arxiv.org/abs/2607.04223,https://arxiv.org/pdf/2607.04223
rag,2607.04008,Candidate-Constrained Retrieval-Augmented Generation for LongEval-RAG System Design and Empirical Analysis,2026-07,cs.CL,https://arxiv.org/abs/2607.04008,https://arxiv.org/pdf/2607.04008
rag,2607.03929,"Probe, Don t Prompt A Hidden-State Probe for Metadata Filtering in Multi-Meta-RAG",2026-07,cs.CL,https://arxiv.org/abs/2607.03929,https://arxiv.org/pdf/2607.03929
agent,2607.07702,From Noisy Traces to Root Causes Structural Trajectory Analysis and Causal Extraction for Agent Optimization,2026-07,cs.CL,https://arxiv.org/abs/2607.07702,https://arxiv.org/pdf/2607.07702
agent,2607.07626,Future Confidence Distillation in Large Language Models,2026-07,cs.CL,https://arxiv.org/abs/2607.07626,https://arxiv.org/pdf/2607.07626
agent,2607.07548,"Think Big, Search Small Where Capacity Matters in Hierarchical Search Agents",2026-07,cs.CL,https://arxiv.org/abs/2607.07548,https://arxiv.org/pdf/2607.07548
agent,2607.07521,Creativity from Friction Human-AI Interaction for Exploratory Structural Design,2026-07,cs.HC,https://arxiv.org/abs/2607.07521,https://arxiv.org/pdf/2607.07521
agent,2607.07474,Beyond Attack-Success Rate Action-Graded Severity Scale for Tool-Using AI Agents,2026-07,cs.CR,https://arxiv.org/abs/2607.07474,https://arxiv.org/pdf/2607.07474
agent,2607.07467,SpaCellAgent A Self-Evolving LLM-Based Multi-Agent Framework for Trajectory Analysis,2026-07,cs.AI,https://arxiv.org/abs/2607.07467,https://arxiv.org/pdf/2607.07467
agent,2607.07379,Physics-Audited Agentic Discovery in Scientific Machine Learning,2026-07,cs.AI,https://arxiv.org/abs/2607.07379,https://arxiv.org/pdf/2607.07379
agent,2607.07321,From Atomic Actions to Standard Operating Procedures Iterative Tool Optimization for Self-Evolving LLM Agents,2026-07,cs.AI,https://arxiv.org/abs/2607.07321,https://arxiv.org/pdf/2607.07321
agent,2607.07178,Entropy Pacing Policy Optimization for Multi-Task Agentic Reinforcement Learning,2026-07,cs.LG,https://arxiv.org/abs/2607.07178,https://arxiv.org/pdf/2607.07178
agent,2607.07103,A knowledge-augmented dataset of high-risk driving scenarios with LLM annotations for autonomous driving,2026-07,cs.LG,https://arxiv.org/abs/2607.07103,https://arxiv.org/pdf/2607.07103
agent,2607.07097,Operational Reframing and Approval-Framed Delegation in Multi-Agent LLM Safety,2026-07,cs.AI,https://arxiv.org/abs/2607.07097,https://arxiv.org/pdf/2607.07097
agent,2607.07021,Learning social norms enhances compatibility in dynamic human-AI coordination,2026-07,cs.AI,https://arxiv.org/abs/2607.07021,https://arxiv.org/pdf/2607.07021
agent,2607.06964,End-to-End LLM Flight Planning with RAG-based Memory and Multi-modal Coach Agent,2026-07,cs.RO,https://arxiv.org/abs/2607.06964,https://arxiv.org/pdf/2607.06964
agent,2607.06875,Video2Reaction Mapping Video to Audience Reaction Distribution in the Wild,2026-07,cs.CV,https://arxiv.org/abs/2607.06875,https://arxiv.org/pdf/2607.06875
agent,2607.06854,A Gold-Standard Study of What Makes a Lightweight Game-Playing Agent Strong,2026-07,cs.LG,https://arxiv.org/abs/2607.06854,https://arxiv.org/pdf/2607.06854
agent,2607.06764,Cost-Effective Agent Harnesses for Abstract Reasoning and Generalization on ARC-AGI-1,2026-07,cs.AI,https://arxiv.org/abs/2607.06764,https://arxiv.org/pdf/2607.06764
agent,2607.06757,LLM-powered reasoning in agent-based modeling,2026-07,cs.AI,https://arxiv.org/abs/2607.06757,https://arxiv.org/pdf/2607.06757
agent,2607.06713,Reliable and Developer-Aligned Evaluation of Agents for Software Engineering,2026-07,cs.SE,https://arxiv.org/abs/2607.06713,https://arxiv.org/pdf/2607.06713
agent,2607.06522,Bridging Physical Reasoning and Task Generalization via Visual Action Outcome Reasoning Alignment,2026-07,cs.AI,https://arxiv.org/abs/2607.06522,https://arxiv.org/pdf/2607.06522
agent,2607.06503,Doomed from the Start Early Abort of LLM Agent Episodes via a Recall-Controlled Probe Cascade,2026-07,cs.AI,https://arxiv.org/abs/2607.06503,https://arxiv.org/pdf/2607.06503
reasoning,2607.07708,"Accurate, Interdisciplinary and Transparent Structure-property Understanding with Deep Native Structural Reasoning",2026-07,cs.CL,https://arxiv.org/abs/2607.07708,https://arxiv.org/pdf/2607.07708
reasoning,2607.07646,RL Post-Training Builds Compositional Reasoning Strategies,2026-07,cs.AI,https://arxiv.org/abs/2607.07646,https://arxiv.org/pdf/2607.07646
reasoning,2607.07508,Single-Rollout Asynchronous Optimization for Agentic Reinforcement Learning,2026-07,cs.LG,https://arxiv.org/abs/2607.07508,https://arxiv.org/pdf/2607.07508
reasoning,2607.07507,HIVE Understanding Post-Hallucination Reasoning in Vision Language Models,2026-07,cs.CV,https://arxiv.org/abs/2607.07507,https://arxiv.org/pdf/2607.07507
reasoning,2607.07395,When Prompts Ignore Structure Graph-Based Attribute Reasoning for Calibrated VLMs,2026-07,cs.CV,https://arxiv.org/abs/2607.07395,https://arxiv.org/pdf/2607.07395
reasoning,2607.07386,Sparse Delta Memory Scaling the State of Linear RNNs through Sparsity,2026-07,cs.LG,https://arxiv.org/abs/2607.07386,https://arxiv.org/pdf/2607.07386
reasoning,2607.07321,From Atomic Actions to Standard Operating Procedures Iterative Tool Optimization for Self-Evolving LLM Agents,2026-07,cs.AI,https://arxiv.org/abs/2607.07321,https://arxiv.org/pdf/2607.07321
reasoning,2607.07316,"Mechanistic Interpretability for Neural Networks Circuits, Sparse Features and Symbolic Reasoning",2026-07,cs.LG,https://arxiv.org/abs/2607.07316,https://arxiv.org/pdf/2607.07316
reasoning,2607.07251,Evaluation of Multilingual Ability to Use Spatial Deictic Expressions in Vision-Language Models,2026-07,cs.CL,https://arxiv.org/abs/2607.07251,https://arxiv.org/pdf/2607.07251
reasoning,2607.07117,Tree-of-Thoughts Reasoning for Text-to-Image In-Context Learning,2026-07,cs.CV,https://arxiv.org/abs/2607.07117,https://arxiv.org/pdf/2607.07117
reasoning,2607.07103,A knowledge-augmented dataset of high-risk driving scenarios with LLM annotations for autonomous driving,2026-07,cs.LG,https://arxiv.org/abs/2607.07103,https://arxiv.org/pdf/2607.07103
reasoning,2607.07066,Multiplication Beyond Groups Stratified Fourier Mechanisms in Transformer Circuits,2026-07,cs.LG,https://arxiv.org/abs/2607.07066,https://arxiv.org/pdf/2607.07066
reasoning,2607.07026,Constrained Decoding for Diffusion Language Models via Efficient Inference over Finite Automata,2026-07,cs.LG,https://arxiv.org/abs/2607.07026,https://arxiv.org/pdf/2607.07026
reasoning,2607.06987,UP Unbounded Positive Asymmetric Optimization for Breaking the Exploration-Stability Dilemma,2026-07,cs.LG,https://arxiv.org/abs/2607.06987,https://arxiv.org/pdf/2607.06987
reasoning,2607.06974,MILES Modular Instruction Memory with Learnable Selection for Self-Improving LLM Reasoning,2026-07,cs.CL,https://arxiv.org/abs/2607.06974,https://arxiv.org/pdf/2607.06974
reasoning,2607.0694,Comprehensive Evaluation of Large Language Model Responses A Multi-Factor Scoring System,2026-07,cs.CL,https://arxiv.org/abs/2607.06940,https://arxiv.org/pdf/2607.06940
reasoning,2607.06855,Geometric Self-Distillation for Reasoning Generalization,2026-07,cs.LG,https://arxiv.org/abs/2607.06855,https://arxiv.org/pdf/2607.06855
reasoning,2607.06764,Cost-Effective Agent Harnesses for Abstract Reasoning and Generalization on ARC-AGI-1,2026-07,cs.AI,https://arxiv.org/abs/2607.06764,https://arxiv.org/pdf/2607.06764
reasoning,2607.06757,LLM-powered reasoning in agent-based modeling,2026-07,cs.AI,https://arxiv.org/abs/2607.06757,https://arxiv.org/pdf/2607.06757
reasoning,2607.0672,When Does In-Context Search Help A Sampling-Complexity Theory of Reflection-Driven Reasoning,2026-07,cs.AI,https://arxiv.org/abs/2607.06720,https://arxiv.org/pdf/2607.06720
alignment,2607.07673,MedPMC A Systematic Framework for Scaling High-Fidelity Medical Multimodal Data for Foundation Models,2026-07,cs.CV,https://arxiv.org/abs/2607.07673,https://arxiv.org/pdf/2607.07673
alignment,2607.07669,DiaLLM An Investigation into the Robustness-Generation Gap in English Dialect Adaptation,2026-07,cs.CL,https://arxiv.org/abs/2607.07669,https://arxiv.org/pdf/2607.07669
alignment,2607.07521,Creativity from Friction Human-AI Interaction for Exploratory Structural Design,2026-07,cs.HC,https://arxiv.org/abs/2607.07521,https://arxiv.org/pdf/2607.07521
alignment,2607.07357,HumAIN Human-Aware Implicit Social Robot Navigation,2026-07,cs.RO,https://arxiv.org/abs/2607.07357,https://arxiv.org/pdf/2607.07357
alignment,2607.07219,"Vision Foundation Models in Radiology A Scoping Review of Data, Methodology, Evaluation and Clinical Translation",2026-07,cs.CV,https://arxiv.org/abs/2607.07219,https://arxiv.org/pdf/2607.07219
alignment,2607.07184,Predicting LLM Safety Before Release by Simulating Deployment,2026-07,cs.LG,https://arxiv.org/abs/2607.07184,https://arxiv.org/pdf/2607.07184
alignment,2607.07021,Learning social norms enhances compatibility in dynamic human-AI coordination,2026-07,cs.AI,https://arxiv.org/abs/2607.07021,https://arxiv.org/pdf/2607.07021
alignment,2607.06831,Gradient-Based Speech-to-Text Alignment for Any ASR Model From CTC to Speech LLMs,2026-07,cs.CL,https://arxiv.org/abs/2607.06831,https://arxiv.org/pdf/2607.06831
alignment,2607.0654,Hierarchical Acoustic-Semantic Modeling Modality Separation and Semantic Coherence for Full-Duplex SLMs,2026-07,cs.CL,https://arxiv.org/abs/2607.06540,https://arxiv.org/pdf/2607.06540
alignment,2607.06522,Bridging Physical Reasoning and Task Generalization via Visual Action Outcome Reasoning Alignment,2026-07,cs.AI,https://arxiv.org/abs/2607.06522,https://arxiv.org/pdf/2607.06522
alignment,2607.06481,Prompt-Adapter Context Routing for Parameter-Efficient Multi-Shot Long Video Extrapolation,2026-07,cs.CV,https://arxiv.org/abs/2607.06481,https://arxiv.org/pdf/2607.06481
alignment,2607.06461,WordVoice Explicit and Decoupled Multi-Dimensional Word-Level Control for LLM-Based TTS,2026-07,eess.AS,https://arxiv.org/abs/2607.06461,https://arxiv.org/pdf/2607.06461
alignment,2607.06326,DT-Guard Intent-Driven Reasoning-Active Training for Reasoning-Free LLM Safety Guardrail,2026-07,cs.AI,https://arxiv.org/abs/2607.06326,https://arxiv.org/pdf/2607.06326
alignment,2607.06269,From Application-Layer Simulation to Native Meta-Architecture Structural Tension as an Endogenous Driver for Heterogeneous AI Evolution,2026-07,cs.AI,https://arxiv.org/abs/2607.06269,https://arxiv.org/pdf/2607.06269
alignment,2607.06196,"Pluralis v0.1 Towards a Multicultural, Multimodal, Multilingual Benchmark for AI Risk and Reliability",2026-07,cs.CL,https://arxiv.org/abs/2607.06196,https://arxiv.org/pdf/2607.06196
alignment,2607.06626,Reward Valuation in Vision Language Models Causal Mechanisms Underlying Anhedonia,2026-07,cs.LG,https://arxiv.org/abs/2607.06626,https://arxiv.org/pdf/2607.06626
alignment,2607.06163,X-FEMR A Token-level Explainable Approach for Electronic Health Records Foundation Models using Transformer-based Models,2026-07,cs.LG,https://arxiv.org/abs/2607.06163,https://arxiv.org/pdf/2607.06163
alignment,2607.06623,LLM-Guided Task-Semantic Field Factorization for Industrial Process Forecasting,2026-07,cs.LG,https://arxiv.org/abs/2607.06623,https://arxiv.org/pdf/2607.06623
alignment,2607.06001,Information Limits and Attractor Dynamics in Economies of Frontier LLM Agents A Pre-Registered Test,2026-07,cs.AI,https://arxiv.org/abs/2607.06001,https://arxiv.org/pdf/2607.06001
alignment,2607.05985,Auto-DSM Under the Lens A Black-Box Evaluation Framework for LLM-Based DSM Generation,2026-07,cs.AI,https://arxiv.org/abs/2607.05985,https://arxiv.org/pdf/2607.05985
safety,2607.07696,Breaking Database Lock-in Agentic Regeneration of High Performance Storage Readers for Database Bypass,2026-07,cs.DB,https://arxiv.org/abs/2607.07696,https://arxiv.org/pdf/2607.07696
safety,2607.07527,A Unified Detection Framework for AI-Related Content and Artifacts,2026-07,stat.ML,https://arxiv.org/abs/2607.07527,https://arxiv.org/pdf/2607.07527
safety,2607.07507,HIVE Understanding Post-Hallucination Reasoning in Vision Language Models,2026-07,cs.CV,https://arxiv.org/abs/2607.07507,https://arxiv.org/pdf/2607.07507
safety,2607.07474,Beyond Attack-Success Rate Action-Graded Severity Scale for Tool-Using AI Agents,2026-07,cs.CR,https://arxiv.org/abs/2607.07474,https://arxiv.org/pdf/2607.07474
safety,2607.07316,"Mechanistic Interpretability for Neural Networks Circuits, Sparse Features and Symbolic Reasoning",2026-07,cs.LG,https://arxiv.org/abs/2607.07316,https://arxiv.org/pdf/2607.07316
safety,2607.07184,Predicting LLM Safety Before Release by Simulating Deployment,2026-07,cs.LG,https://arxiv.org/abs/2607.07184,https://arxiv.org/pdf/2607.07184
safety,2607.07103,A knowledge-augmented dataset of high-risk driving scenarios with LLM annotations for autonomous driving,2026-07,cs.LG,https://arxiv.org/abs/2607.07103,https://arxiv.org/pdf/2607.07103
safety,2607.07097,Operational Reframing and Approval-Framed Delegation in Multi-Agent LLM Safety,2026-07,cs.AI,https://arxiv.org/abs/2607.07097,https://arxiv.org/pdf/2607.07097
safety,2607.07047,Riemannian Geometry for Pre-trained Language Model Embeddings,2026-07,cs.CL,https://arxiv.org/abs/2607.07047,https://arxiv.org/pdf/2607.07047
safety,2607.06963,"Large Language Models (LLMs) and Generative AI in Cybersecurity and Privacy A Survey of Dual-Use Risks, AI-Generated Malware, Explainability, and Defensive Strategies",2026-07,cs.CR,https://arxiv.org/abs/2607.06963,https://arxiv.org/pdf/2607.06963
safety,2607.06748,SmartHomeSecure Automated Detection and Repair of Smart Home Configuration Errors Using Large Language Models,2026-07,cs.SE,https://arxiv.org/abs/2607.06748,https://arxiv.org/pdf/2607.06748
safety,2607.06641,Healthier LLMs Retrieval-Augmented Generation for Public Health Question Answering,2026-07,cs.CL,https://arxiv.org/abs/2607.06641,https://arxiv.org/pdf/2607.06641
safety,2607.06326,DT-Guard Intent-Driven Reasoning-Active Training for Reasoning-Free LLM Safety Guardrail,2026-07,cs.AI,https://arxiv.org/abs/2607.06326,https://arxiv.org/pdf/2607.06326
safety,2607.06196,"Pluralis v0.1 Towards a Multicultural, Multimodal, Multilingual Benchmark for AI Risk and Reliability",2026-07,cs.CL,https://arxiv.org/abs/2607.06196,https://arxiv.org/pdf/2607.06196
safety,2607.06163,X-FEMR A Token-level Explainable Approach for Electronic Health Records Foundation Models using Transformer-based Models,2026-07,cs.LG,https://arxiv.org/abs/2607.06163,https://arxiv.org/pdf/2607.06163
safety,2607.06127,Measuring the practice of shared-decision making (OPTION12) An Investigation into Open-sourced Smaller LLMs (OS-sLLMs) for Better Privacy and Sustainability,2026-07,cs.CL,https://arxiv.org/abs/2607.06127,https://arxiv.org/pdf/2607.06127
safety,2607.05985,Auto-DSM Under the Lens A Black-Box Evaluation Framework for LLM-Based DSM Generation,2026-07,cs.AI,https://arxiv.org/abs/2607.05985,https://arxiv.org/pdf/2607.05985
safety,2607.05978,Propose and Attend Training-free MLLM Grounding Confidence via Multi-Token Localized Attention,2026-07,cs.CV,https://arxiv.org/abs/2607.05978,https://arxiv.org/pdf/2607.05978
