source,target,edge_weight
fine-tuning,prompt,5
pipeline,search,5
retrieval,understanding,5
evidence,memory,5
alignment,error,5
evaluate,mechanism,5
efficient,error,5
alignment,structured,5
evaluate,features,5
evaluate,tokens,5
agentic,semantic,5
baseline,use,5
available,structural,5
agentic,modeling,5
features,tokens,5
knowledge,tokens,5
alignment,features,5
baselines,memory,5
control,spatial,5
classification,mechanism,5
real-world,reward,5
prediction,real-world,5
pipeline,use,5
remains,sparse,5
address,failure,5
classification,optimization,5
agents,architecture,5
classification,token,5
error,evidence,5
control,structural,5
control,tool,5
baselines,features,5
behavior,multimodal,5
agent,classification,5
available,classification,5
token,understanding,5
retrieval,token,5
prior,transformer,5
agents,available,5
agents,standard,5
pipeline,safety,5
safety,semantic,5
agent,prompt,5
architecture,prompt,5
architecture,safety,5
baseline,behavior,5
baseline,sparse,5
reinforcement,settings,5
strong,tokens,5
gap,policy,5
accuracy,safety,5
retrieval,safety,5
mechanism,search,5
sparse,text,5
detection,understanding,5
error,semantic,5
findings,real-world,5
failure,transformer,5
memory,search,5
efficient,prompt,5
pipeline,real-world,5
architecture,diffusion,5
diffusion,optimization,5
structural,trained,5
quality,support,5
selection,text,5
knowledge,safety,5
features,structural,5
baseline,representations,5
baselines,modeling,5
prior,structure,5
prompt,selection,5
selection,use,5
modeling,structural,5
remains,tool,5
architecture,behavior,5
prompt,safety,5
diffusion,structural,5
settings,structural,5
memory,text,5
attention,retrieval,5
baselines,quality,5
alignment,real-world,5
diffusion,transformer,5
features,standard,5
address,support,5
information,sparse,5
failure,mechanism,5
optimization,real-world,5
policy,settings,5
evaluate,structure,5
baselines,findings,5
findings,target,5
error,structured,5
findings,vision-language,5
structured,target,5
agentic,mechanism,5
agentic,real-world,5
mechanism,policy,5
target,vision-language,5
evaluate,representations,5
efficient,support,5
behavior,strong,5
process,safety,5
quality,safety,5
attention,baseline,5
baseline,structure,5
spatial,target,5
alignment,image,5
alignment,multimodal,5
alignment,retrieval,5
alignment,settings,5
architecture,detection,5
architecture,retrieval,5
baseline,standard,5
architecture,optimization,5
available,semantic,5
settings,understanding,5
knowledge,optimization,5
quality,understanding,5
cost,multimodal,5
semantic,support,5
agentic,prior,5
code,search,5
control,evidence,5
control,retrieval,5
detection,efficient,5
agentic,pipeline,5
optimization,safety,5
baseline,features,5
selection,sparse,5
architecture,visual,5
baseline,prior,5
baseline,settings,5
classification,prior,5
prior,process,5
prior,target,5
address,sparse,5
mechanism,prediction,5
modeling,standard,5
real-world,spatial,5
spatial,standard,5
human,prediction,5
prediction,target,5
behavior,selection,5
control,text,5
error,structure,5
information,safety,5
fine-tuning,quality,5
error,text,5
architecture,fine-tuning,5
cost,target,5
fine-tuning,target,5
semantic,use,5
evidence,text,5
transformer,use,5
policy,text,5
sparse,strong,5
behavior,mechanism,5
prediction,reasoning,5
evaluate,structural,5
information,memory,5
code,diffusion,5
context,features,5
context,process,5
multimodal,optimization,5
multimodal,reinforcement,5
prompt,representations,5
agentic,target,5
detection,visual,5
diffusion,process,5
control,evaluate,5
gap,token,5
mechanism,pipeline,5
modeling,selection,5
pipeline,tool,5
selection,spatial,5
selection,tool,5
sparse,structure,5
detection,mechanism,5
address,error,5
cost,structure,5
inference,sparse,5
efficient,structure,5
behavior,reward,5
prediction,standard,5
architecture,gap,5
single,sparse,5
design,trained,5
representations,tool,5
tool,trained,5
classification,gap,5
fine-tuning,representations,5
fine-tuning,spatial,5
prior,understanding,5
support,tool,5
control,gap,5
control,support,5
context,reward,5
design,tool,5
findings,tool,5
cost,evidence,5
efficient,retrieval,5
alignment,structure,5
baselines,diffusion,5
control,diffusion,5
findings,representations,5
efficient,search,5
diffusion,memory,5
diffusion,prediction,5
available,spatial,5
efficient,evaluate,5
behavior,features,5
knowledge,search,5
prediction,vision-language,5
prediction,strong,5
prior,strong,5
prior,trained,5
design,representations,5
diffusion,image,5
evidence,transformer,5
efficient,failure,5
agents,pipeline,5
reward,selection,5
modeling,reinforcement,5
multimodal,tool,5
spatial,structural,5
spatial,structure,5
structural,structure,5
alignment,policy,5
structural,tokens,5
control,prior,5
selection,transformer,5
prediction,prior,5
available,transformer,5
optimization,visual,5
available,settings,5
available,structure,5
quality,reward,5
error,strong,5
gap,reinforcement,5
failure,strong,5
efficient,tool,5
human,sparse,5
representations,safety,5
control,understanding,5
design,fine-tuning,5
control,strong,5
alignment,attention,5
attention,evaluate,5
search,strong,5
prior,standard,5
semantic,standard,5
gap,prediction,5
gap,representations,5
gap,structure,5
information,structural,5
modeling,structured,5
control,structured,5
agentic,strong,5
alignment,selection,5
architecture,features,5
detection,spatial,5
semantic,target,5
evidence,selection,5
inference,vision-language,5
baseline,memory,5
design,evidence,5
evidence,image,5
settings,standard,5
agentic,multimodal,5
error,target,5
evidence,optimization,5
failure,optimization,5
evidence,tokens,5
mechanism,visual,5
gap,optimization,5
settings,vision-language,5
spatial,use,5
architecture,vision-language,4
evidence,structure,4
error,reinforcement,4
reinforcement,spatial,4
findings,fine-tuning,4
findings,reinforcement,4
classification,prediction,4
standard,structural,4
prior,support,4
fine-tuning,retrieval,4
design,detection,4
cost,reinforcement,4
failure,fine-tuning,4
fine-tuning,settings,4
prediction,quality,4
alignment,use,4
efficient,understanding,4
evaluate,understanding,4
reinforcement,understanding,4
policy,spatial,4
available,representations,4
diffusion,reinforcement,4
image,reinforcement,4
image,target,4
reward,safety,4
optimization,structure,4
optimization,transformer,4
policy,transformer,4
reinforcement,transformer,4
detection,reasoning,4
reinforcement,tokens,4
diffusion,error,4
memory,support,4
baseline,modeling,4
error,search,4
evidence,modeling,4
target,use,4
prompt,target,4
optimization,text,4
representations,settings,4
agents,multimodal,4
failure,structure,4
knowledge,selection,4
classification,fine-tuning,4
safety,trained,4
safety,understanding,4
agent,text,4
retrieval,target,4
classification,safety,4
agents,semantic,4
behavior,pipeline,4
memory,structured,4
retrieval,structural,4
retrieval,transformer,4
cost,structural,4
failure,semantic,4
failure,spatial,4
error,image,4
standard,structure,4
architecture,tool,4
spatial,trained,4
behavior,vision-language,4
attention,fine-tuning,4
image,standard,4
fine-tuning,sparse,4
memory,modeling,4
alignment,prompt,4
real-world,tool,4
cost,vision-language,4
agentic,findings,4
agent,features,4
agent,representations,4
agents,representations,4
settings,token,4
settings,tokens,4
error,findings,4
error,understanding,4
error,use,4
attention,human,4
evaluate,modeling,4
gap,modeling,4
baselines,tool,4
human,mechanism,4
image,process,4
modeling,retrieval,4
prediction,reinforcement,4
multimodal,settings,4
alignment,control,4
optimization,retrieval,4
alignment,support,4
alignment,tool,4
alignment,vision-language,4
architecture,cost,4
pipeline,transformer,4
policy,visual,4
real-world,structure,4
error,retrieval,4
available,diffusion,4
prior,sparse,4
agents,text,4
failure,sparse,4
target,tool,4
optimization,understanding,4
multimodal,structural,4
tokens,use,4
evaluate,prediction,4
evidence,fine-tuning,4
fine-tuning,modeling,4
diffusion,features,4
prompt,understanding,4
detection,settings,4
reinforcement,support,4
attention,process,4
code,structure,4
memory,optimization,4
modeling,spatial,4
detection,evidence,4
diffusion,vision-language,4
efficient,prior,4
optimization,target,4
control,semantic,4
control,findings,4
agent,tokens,4
attention,detection,4
policy,support,4
standard,understanding,4
available,control,4
prompt,reinforcement,4
behavior,standard,4
findings,tokens,4
search,tokens,4
cost,detection,4
spatial,support,4
address,agentic,4
real-world,semantic,4
knowledge,mechanism,4
behavior,memory,4
findings,gap,4
mechanism,target,4
modeling,target,4
modeling,vision-language,4
prior,spatial,4
classification,visual,4
memory,target,4
classification,multimodal,4
prior,safety,4
fine-tuning,human,4
fine-tuning,image,4
structure,target,4
prior,representations,4
memory,pipeline,4
cost,spatial,4
features,gap,4
knowledge,reward,4
control,reward,4
cost,reward,4
agent,multimodal,4
agent,understanding,4
available,prediction,4
code,prediction,4
cost,modeling,4
classification,structural,4
attention,prediction,4
cost,mechanism,4
attention,failure,4
findings,token,4
target,understanding,4
agentic,understanding,4
error,policy,4
structured,tokens,4
alignment,prior,4
architecture,findings,4
architecture,prior,4
alignment,baseline,4
alignment,detection,4
quality,vision-language,4
behavior,retrieval,4
control,detection,4
memory,multimodal,4
memory,strong,4
memory,understanding,4
features,prior,4
features,target,4
mechanism,multimodal,4
fine-tuning,prediction,4
search,sparse,4
fine-tuning,real-world,4
optimization,spatial,4
attention,evidence,4
context,control,4
control,modeling,4
policy,understanding,4
gap,sparse,4
human,vision-language,4
agentic,token,4
efficient,pipeline,4
detection,safety,4
error,pipeline,4
baseline,support,4
real-world,trained,4
address,search,4
architecture,baselines,4
diffusion,reasoning,4
error,prior,4
structure,use,4
real-world,vision-language,4
safety,structural,4
optimization,pipeline,4
human,spatial,4
failure,real-world,4
control,search,4
control,tokens,4
strong,structural,4
structured,tool,4
detection,structural,4
modeling,real-world,4
mechanism,representations,4
error,optimization,4
features,strong,4
evidence,prediction,4
efficient,sparse,4
agents,visual,4
architecture,use,4
reinforcement,text,4
standard,strong,4
available,optimization,4
available,standard,4
findings,reward,4
fine-tuning,process,4
policy,semantic,4
remains,reward,4
reward,structured,4
diffusion,evaluate,4
architecture,reinforcement,4
agentic,baseline,4
baselines,pipeline,4
fine-tuning,prior,4
fine-tuning,understanding,4
agentic,structural,4
behavior,structural,4
available,failure,4
reinforcement,safety,4
agents,mechanism,4
diffusion,representations,4
diffusion,trained,4
pipeline,structural,4
structural,use,4
agentic,available,4
target,trained,4
strong,tool,4
architecture,control,4
diffusion,policy,4
policy,trained,4
control,pipeline,4
attention,findings,4
attention,support,4
text,tool,4
mechanism,retrieval,4
memory,structure,4
fine-tuning,structure,4
prompt,transformer,4
diffusion,prompt,4
memory,prediction,4
prediction,use,4
baseline,tool,4
safety,transformer,4
error,evaluate,4
failure,pipeline,4
agentic,support,4
reward,target,4
failure,prediction,4
target,tokens,4
control,structure,4
control,optimization,4
baseline,optimization,4
available,prompt,4
strong,structure,4
control,error,4
evidence,structural,4
modeling,representations,4
representations,sparse,4
evidence,standard,3
error,fine-tuning,3
representations,selection,3
safety,token,3
prediction,text,3
evidence,representations,3
cost,image,3
agents,selection,3
design,sparse,3
mechanism,prompt,3
gap,structured,3
agents,prompt,3
diffusion,sparse,3
available,fine-tuning,3
baseline,process,3
prompt,semantic,3
prompt,tool,3
cost,visual,3
reward,search,3
prediction,selection,3
policy,prompt,3
agents,sparse,3
error,support,3
multimodal,safety,3
safety,text,3
baseline,target,3
memory,process,3
architecture,structure,3
pipeline,structure,3
architecture,policy,3
agents,alignment,3
agents,features,3
diffusion,structured,3
efficient,structural,3
fine-tuning,memory,3
architecture,sparse,3
image,safety,3
available,cost,3
attention,settings,3
optimization,tokens,3
agentic,text,3
architecture,understanding,3
human,image,3
attention,understanding,3
prediction,safety,3
detection,policy,3
pipeline,reinforcement,3
standard,support,3
process,representations,3
evidence,prompt,3
human,inference,3
features,token,3
image,policy,3
detection,process,3
available,structured,3
detection,optimization,3
agent,attention,3
agents,attention,3
available,search,3
error,memory,3
detection,fine-tuning,3
architecture,failure,3
evaluate,sparse,3
classification,process,3
baseline,understanding,3
semantic,sparse,3
behavior,structured,3
prompt,structural,3
architecture,evidence,3
retrieval,sparse,3
classification,vision-language,3
selection,support,3
selection,trained,3
structure,support,3
selection,visual,3
baseline,mechanism,3
baseline,spatial,3
structure,vision-language,3
error,modeling,3
diffusion,selection,3
baseline,diffusion,3
attention,structural,3
search,visual,3
fine-tuning,tool,3
safety,strong,3
alignment,efficient,3
design,safety,3
sparse,spatial,3
baseline,structural,3
process,real-world,3
fine-tuning,support,3
process,transformer,3
findings,structural,3
prompt,real-world,3
quality,spatial,3
features,findings,3
real-world,standard,3
real-world,tokens,3
error,process,3
cost,prompt,3
control,prompt,3
image,sparse,3
agentic,safety,3
address,prompt,3
evidence,quality,3
representations,use,3
reward,support,3
reward,tool,3
code,sparse,3
detection,selection,3
settings,structure,3
prediction,sparse,3
agent,spatial,3
spatial,strong,3
available,policy,3
findings,selection,3
prediction,structural,3
tool,vision-language,3
tool,visual,3
error,sparse,3
diffusion,modeling,3
diffusion,multimodal,3
diffusion,prior,3
diffusion,spatial,3
features,sparse,3
fine-tuning,selection,3
modeling,tool,3
gap,memory,3
pipeline,process,3
behavior,cost,3
findings,optimization,3
failure,modeling,3
agent,fine-tuning,3
process,sparse,3
optimization,prediction,3
quality,representations,3
prediction,structured,3
optimization,representations,3
optimization,settings,3
agents,spatial,3
cost,error,3
structure,tool,3
error,tool,3
agent,alignment,3
agent,visual,3
features,support,3
features,use,3
control,sparse,3
modeling,pipeline,3
behavior,detection,3
diffusion,settings,3
classification,context,3
failure,representations,3
policy,representations,3
alignment,diffusion,3
alignment,fine-tuning,3
policy,selection,3
detection,structure,3
prediction,visual,3
diffusion,use,3
diffusion,knowledge,3
failure,search,3
standard,tool,3
detection,standard,3
pipeline,standard,3
standard,visual,3
diffusion,gap,3
diffusion,information,3
agents,efficient,3
standard,vision-language,3
attention,pipeline,3
prediction,prompt,3
architecture,real-world,3
memory,visual,3
fine-tuning,mechanism,3
mechanism,reward,3
multimodal,selection,3
behavior,efficient,3
detection,gap,3
detection,knowledge,3
modeling,search,3
alignment,cost,3
token,tool,3
human,token,3
prompt,search,3
control,settings,3
agentic,visual,3
reinforcement,representations,3
detection,inference,3
representations,standard,3
structural,text,3
human,structure,3
safety,settings,3
retrieval,standard,3
fine-tuning,structural,3
evidence,real-world,3
agent,detection,3
search,selection,3
cost,support,3
findings,prediction,3
cost,diffusion,3
control,image,3
code,error,3
memory,trained,3
classification,cost,3
inference,real-world,3
behavior,understanding,3
control,target,3
features,fine-tuning,3
tool,understanding,2
safety,visual,2
sparse,structured,2
agents,transformer,2
agents,understanding,2
search,structure,2
available,error,2
modeling,policy,2
detection,error,2
agents,detection,2
agentic,classification,2
classification,support,2
failure,tokens,2
selection,strong,2
control,features,2
available,reward,2
tokens,tool,2
control,multimodal,2
control,vision-language,2
reinforcement,selection,2
agentic,vision-language,2
search,understanding,2
features,retrieval,2
features,prompt,2
agentic,detection,2
structural,tool,2
error,information,2
human,search,2
search,token,2
detection,prompt,2
agentic,error,2
agentic,trained,2
policy,structural,2
agentic,structure,2
agents,diffusion,2
process,prompt,2
detection,prediction,2
detection,token,2
detection,tokens,2
prompt,sparse,2
reward,structure,2
cost,trained,2
detection,tool,2
tool,transformer,2
diffusion,fine-tuning,2
diffusion,visual,2
classification,tool,2
features,tool,2
standard,structured,2
prediction,retrieval,2
search,standard,2
attention,safety,2
failure,features,2
alignment,memory,2
features,optimization,2
optimization,support,2
pipeline,strong,2
agentic,features,2
agentic,reward,2
agent,image,2
agents,vision-language,2
classification,memory,2
fine-tuning,safety,2
error,structural,2
control,real-world,2
detection,modeling,2
spatial,tool,2
pipeline,tokens,2
diffusion,findings,2
modeling,sparse,2
sparse,understanding,2
prediction,process,2
reward,visual,2
policy,structure,2
real-world,token,2
error,tokens,2
features,policy,2
reward,vision-language,2
attention,optimization,2
attention,policy,2
reward,token,2
structural,vision-language,2
efficient,safety,2
prompt,standard,2
architecture,reward,2
prompt,reward,2
efficient,target,2
agent,transformer,2
cost,features,2
classification,tokens,2
agent,semantic,2
semantic,tool,2
multimodal,search,2
agentic,fine-tuning,2
architecture,search,2
fine-tuning,search,2
features,pipeline,2
error,vision-language,2
modeling,prompt,2
mechanism,support,2
address,diffusion,2
memory,spatial,2
knowledge,sparse,2
information,pipeline,2
failure,selection,2
sparse,use,2
classification,retrieval,2
behavior,real-world,2
agents,tokens,2
behavior,error,2
findings,mechanism,2
modeling,safety,2
cost,understanding,2
pipeline,prediction,2
process,structure,2
settings,sparse,2
sparse,target,2
address,findings,2
reinforcement,structural,2
search,structural,2
search,support,2
classification,policy,2
pipeline,token,2
agent,token,2
agentic,alignment,2
agentic,standard,2
agentic,tokens,2
diffusion,standard,2
diffusion,understanding,2
memory,vision-language,2
sparse,support,2
sparse,vision-language,2
agents,fine-tuning,2
prediction,semantic,2
prior,reward,2
memory,safety,2
memory,structural,2
error,safety,2
real-world,safety,2
attention,reward,2
attention,search,2
pipeline,policy,2
agent,sparse,2
agentic,sparse,2
prediction,search,2
safety,selection,2
spatial,token,2
evidence,features,2
features,settings,2
agentic,representations,2
memory,representations,2
representations,search,2
search,semantic,2
baselines,detection,2
behavior,classification,2
diffusion,failure,2
features,memory,2
efficient,reward,2
retrieval,reward,2
safety,target,2
evidence,spatial,2
safety,spatial,2
agent,structure,2
classification,target,2
gap,search,2
settings,spatial,2
failure,multimodal,2
safety,structure,2
design,prediction,2
reinforcement,semantic,2
evidence,target,2
classification,reward,1
diffusion,support,1
alignment,sparse,1
alignment,evidence,1
image,structural,1
structural,visual,1
diffusion,search,1
evidence,reward,1
pipeline,sparse,1
agentic,spatial,1
agents,classification,1
policy,prediction,1
reward,understanding,1
detection,reinforcement,1
detection,reward,1
detection,target,1
pipeline,reward,1
retrieval,spatial,1
search,spatial,1
search,vision-language,1
error,features,1
selection,standard,1
selection,understanding,1
agentic,image,1
failure,understanding,1
fine-tuning,gap,1
classification,diffusion,1
findings,sparse,1
error,spatial,1
classification,standard,1
detection,failure,1
agentic,transformer,1
attention,control,1
available,safety,1
baseline,real-world,1
prediction,tool,1
attention,reinforcement,1
safety,tokens,1
safety,search,1
findings,memory,1
memory,reward,1
mechanism,safety,1
agentic,efficient,1
findings,search,1
agent,vision-language,1
reward,tokens,1
features,reinforcement,1
features,reward,1
safety,sparse,1
detection,diffusion,1
diffusion,real-world,1
findings,spatial,1
findings,standard,1
diffusion,human,1
diffusion,semantic,1
human,tokens,1
memory,prompt,1
reward,transformer,1
retrieval,structure,1
features,safety,1
prompt,spatial,1
diffusion,target,1
memory,real-world,1
alignment,pipeline,1
alignment,spatial,1
control,visual,1
agentic,prediction,1
agentic,selection,1
agents,image,1
image,reward,1
image,search,1
image,tool,1
multimodal,reward,1
reward,text,1
cost,real-world,1
features,process,1
prior,structural,1
multimodal,sparse,1
reward,structural,1
diffusion,pipeline,1
features,selection,1
selection,structural,1
transformer,vision-language,1
efficient,evidence,1
safety,vision-language,1
error,representations,1
classification,search,1
real-world,search,1
structural,target,1
agent,diffusion,1
agentic,diffusion,1
agents,structure,1
diffusion,tool,1
mechanism,tool,1
reward,semantic,1
structural,token,1
gap,safety,1
sparse,visual,1
modeling,reward,1
detection,search,1
features,search,1
behavior,diffusion,1
agents,token,1
diffusion,reward,1
diffusion,safety,1
control,selection,1
search,settings,1
classification,reinforcement,1
evidence,sparse,1
available,behavior,1
available,sparse,1
prediction,reward,1
