canonical_arxiv_id,published_month,primary_category,categories_text,primary_paradigm,secondary_paradigms,confidence,contribution_type,model_name,processed_at
2607.07708,2026-07,cs.CL,"cs.CL, cs.AI, cs.CE, cs.LG",Reasoning,Multimodal | Benchmark/Evaluation | Theory/Methodology,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:22:22.442981+00:00
2607.07707,2026-07,cs.CL,"cs.CL, cs.AI, cs.LG",RAG/Retrieval,Reasoning | Efficiency/Optimization,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:22:34.091054+00:00
2607.07706,2026-07,cs.LG,cs.LG,Efficiency/Optimization,Reasoning | Benchmark/Evaluation,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:22:45.945969+00:00
2607.07702,2026-07,cs.CL,cs.CL,Agent/Tool Use,,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:25:19.302604+00:00
2607.07696,2026-07,cs.DB,"cs.DB, cs.AI",Efficiency/Optimization,Application | Theory/Methodology,0.8,method,qwen2_5_7b_instruct,2026-07-11T13:25:31.190921+00:00
2607.0768,2026-07,math.ST,"math.ST, cs.LG, math.PR",Theory/Methodology,Efficiency/Optimization | Multimodal,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:25:39.723108+00:00
2607.07678,2026-07,cs.LG,cs.LG,Theory/Methodology,Reasoning | Efficiency/Optimization,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:25:48.715117+00:00
2607.07673,2026-07,cs.CV,"cs.CV, cs.LG",Multimodal,Dataset/Benchmark | Application,0.9,dataset,qwen2_5_7b_instruct,2026-07-11T13:26:01.884949+00:00
2607.0767,2026-07,cs.CL,"cs.CL, cs.LG",Reasoning,Efficiency/Optimization | Benchmark/Evaluation,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:26:15.185667+00:00
2607.07669,2026-07,cs.CL,"cs.CL, cs.AI",Alignment/Safety,Theory/Methodology | Application,0.9,dataset,qwen2_5_7b_instruct,2026-07-11T13:26:26.735061+00:00
2607.07646,2026-07,cs.AI,"cs.AI, cs.CL",Reasoning,Theory/Methodology,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:26:37.978341+00:00
2607.07626,2026-07,cs.CL,"cs.CL, cs.AI",Reasoning,Efficiency/Optimization | Benchmark/Evaluation,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:26:49.294482+00:00
2607.07573,2026-07,cs.LG,"cs.LG, cs.CR",Benchmark/Evaluation,Application,0.9,benchmark,qwen2_5_7b_instruct,2026-07-11T13:27:02.535667+00:00
2607.07557,2026-07,cs.CL,"cs.CL, cs.LG",Efficiency/Optimization,Benchmark/Evaluation | Theory/Methodology,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:27:13.709634+00:00
2607.07548,2026-07,cs.CL,cs.CL,Agent/Tool Use,Reasoning | Efficiency/Optimization,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:27:24.899323+00:00
2607.07527,2026-07,stat.ML,"stat.ML, cs.LG",Theory/Methodology,Benchmark/Evaluation | Efficiency/Optimization,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:27:33.352999+00:00
2607.07521,2026-07,cs.HC,"cs.HC, cs.AI",Alignment/Safety,Reasoning | Application,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:27:43.968199+00:00
2607.07508,2026-07,cs.LG,"cs.LG, cs.AI",Reasoning,Efficiency/Optimization,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:27:53.173562+00:00
2607.07507,2026-07,cs.CV,"cs.CV, cs.AI",Reasoning,Theory/Methodology | Application,0.9,benchmark,qwen2_5_7b_instruct,2026-07-11T13:28:03.831366+00:00
2607.07494,2026-07,cs.DC,"cs.DC, cs.LG",Efficiency/Optimization,Theory/Methodology,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:28:14.619587+00:00
2607.07478,2026-07,cs.LG,"cs.LG, cs.CL, eess.SP",Efficiency/Optimization,Theory/Methodology | Benchmark/Evaluation,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:28:24.719222+00:00
2607.07469,2026-07,cs.CL,"cs.CL, cs.AI",Benchmark/Evaluation,Dataset/Benchmark,0.9,benchmark,qwen2_5_7b_instruct,2026-07-11T13:28:50.655247+00:00
2607.07468,2026-07,stat.ML,"stat.ML, cs.LG, math.ST",Theory/Methodology,Efficiency/Optimization | Benchmark/Evaluation,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:29:00.052239+00:00
2607.07467,2026-07,cs.AI,cs.AI,Agent/Tool Use,Reasoning | Multimodal,0.9,system,qwen2_5_7b_instruct,2026-07-11T13:29:13.709883+00:00
2607.07408,2026-07,cs.CL,cs.CL,Reasoning,Multimodal | Dataset/Benchmark,0.9,system,qwen2_5_7b_instruct,2026-07-11T13:29:23.855208+00:00
2607.07401,2026-07,cs.CV,"cs.CV, cs.AI, cs.LG",Reasoning,Application,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:29:33.525360+00:00
2607.07395,2026-07,cs.CV,"cs.CV, cs.AI, cs.LG",Reasoning,Efficiency/Optimization | Multimodal,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:29:42.494821+00:00
2607.07388,2026-07,cs.CL,"cs.CL, cs.LG",Efficiency/Optimization,Benchmark/Evaluation | Theory/Methodology,0.9,system,qwen2_5_7b_instruct,2026-07-11T13:29:53.607665+00:00
2607.07386,2026-07,cs.LG,cs.LG,Efficiency/Optimization,Reasoning,0.9,other,qwen2_5_7b_instruct,2026-07-11T13:30:02.766567+00:00
2607.07382,2026-07,cs.LG,"cs.LG, astro-ph.HE, astro-ph.IM",Benchmark/Evaluation,Application | Theory/Methodology,0.9,benchmark,qwen2_5_7b_instruct,2026-07-11T13:30:13.917452+00:00
2607.07379,2026-07,cs.AI,"cs.AI, cs.LG",Agent/Tool Use,Alignment/Safety | Reasoning,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:30:24.942314+00:00
2607.07375,2026-07,cs.LG,"cs.LG, cs.AI",Reasoning,Theory/Methodology | Benchmark/Evaluation,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:30:34.337583+00:00
2607.07357,2026-07,cs.RO,"cs.RO, cs.AI",Reasoning,Multimodal | Benchmark/Evaluation,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:30:44.277780+00:00
2607.07321,2026-07,cs.AI,"cs.AI, cs.CL, cs.MA",Agent/Tool Use,Reasoning | Efficiency/Optimization,0.9,system,qwen2_5_7b_instruct,2026-07-11T13:30:55.179285+00:00
2607.07316,2026-07,cs.LG,cs.LG,Theory/Methodology,Reasoning | Alignment/Safety,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:31:06.227931+00:00
2607.07289,2026-07,cond-mat.mtrl-sci,"cond-mat.mtrl-sci, cond-mat.dis-nn, cs.AI, cs.LG, math.OC",Efficiency/Optimization,Benchmark/Evaluation | Theory/Methodology,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:31:15.137540+00:00
2607.07277,2026-07,cs.CL,"cs.CL, cs.CY",Reasoning,Alignment/Safety | Benchmark/Evaluation,0.9,analysis,qwen2_5_7b_instruct,2026-07-11T13:31:25.671507+00:00
2607.07267,2026-07,cs.CY,"cs.CY, cs.CL, physics.soc-ph",Theory/Methodology,Multimodal | Benchmark/Evaluation,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:31:37.135679+00:00
2607.07251,2026-07,cs.CL,cs.CL,Multimodal,,0.9,benchmark,qwen2_5_7b_instruct,2026-07-11T13:31:44.996272+00:00
2607.07219,2026-07,cs.CV,"cs.CV, cs.AI, cs.LG",Dataset/Benchmark,Theory/Methodology | Application,0.8,survey,qwen2_5_7b_instruct,2026-07-11T13:31:57.350295+00:00
2607.07189,2026-07,cs.AI,cs.AI,Benchmark/Evaluation,Multimodal | Reasoning,0.9,benchmark,qwen2_5_7b_instruct,2026-07-11T13:32:09.531872+00:00
2607.07184,2026-07,cs.LG,"cs.LG, cs.AI",Benchmark/Evaluation,Alignment/Safety | Reasoning,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:32:19.622704+00:00
2607.07179,2026-07,cs.CV,"cs.CV, cs.LG",Multimodal,Application | Efficiency/Optimization,0.9,benchmark,qwen2_5_7b_instruct,2026-07-11T13:32:30.414084+00:00
2607.07178,2026-07,cs.LG,"cs.LG, cs.AI",Alignment/Safety,Reasoning,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:32:39.596793+00:00
2607.07128,2026-07,cs.LG,cs.LG,Efficiency/Optimization,Theory/Methodology | Application,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:32:50.034906+00:00
2607.07117,2026-07,cs.CV,"cs.CV, cs.AI",Reasoning,Multimodal,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:33:00.437671+00:00
2607.07103,2026-07,cs.LG,"cs.LG, cs.DB",Dataset/Benchmark,,0.9,dataset,qwen2_5_7b_instruct,2026-07-11T13:33:08.700501+00:00
2607.07097,2026-07,cs.AI,"cs.AI, cs.CR, cs.MA",Alignment/Safety,Reasoning | Benchmark/Evaluation,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:33:19.364883+00:00
2607.07066,2026-07,cs.LG,"cs.LG, cs.AI, math.NT, math.RT",Reasoning,Theory/Methodology,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:33:30.219270+00:00
2607.0705,2026-07,cs.CL,"cs.CL, cs.LG",Agent/Tool Use,,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:33:40.485466+00:00
2607.07047,2026-07,cs.CL,"cs.CL, cs.AI",Theory/Methodology,Efficiency/Optimization | Multimodal,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:33:50.566227+00:00
2607.07033,2026-07,cs.CV,"cs.CV, cs.AI",Efficiency/Optimization,Multimodal | Application,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:34:00.434873+00:00
2607.07027,2026-07,cs.LG,"cs.LG, cs.AI, cs.CV",Multimodal,Application | Theory/Methodology,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:34:14.398609+00:00
2607.07026,2026-07,cs.LG,cs.LG,Efficiency/Optimization,Reasoning | Benchmark/Evaluation,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:34:26.618926+00:00
2607.07021,2026-07,cs.AI,"cs.AI, cs.HC",Alignment/Safety,Reasoning | Application,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:34:34.637316+00:00
2607.07003,2026-07,cs.LG,"cs.LG, cs.CL",Alignment/Safety,Theory/Methodology,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:34:42.539362+00:00
2607.06999,2026-07,cs.LG,"cs.LG, cs.AI",Reasoning,Efficiency/Optimization | Multimodal,0.8,theory,qwen2_5_7b_instruct,2026-07-11T13:34:50.992656+00:00
2607.06993,2026-07,cs.AI,cs.AI,Reasoning,Multimodal | Efficiency/Optimization,0.8,benchmark,qwen2_5_7b_instruct,2026-07-11T13:35:03.023957+00:00
2607.06987,2026-07,cs.LG,cs.LG,Reasoning,Efficiency/Optimization | Application,0.9,benchmark,qwen2_5_7b_instruct,2026-07-11T13:35:12.513602+00:00
2607.06974,2026-07,cs.CL,"cs.CL, cs.LG",Reasoning,Efficiency/Optimization | Multimodal,0.8,theory,qwen2_5_7b_instruct,2026-07-11T13:35:23.135341+00:00
2607.06963,2026-07,cs.CR,"cs.CR, cs.AI, cs.CL",Benchmark/Evaluation,Application,0.8,survey,qwen2_5_7b_instruct,2026-07-11T13:35:47.545569+00:00
2607.0694,2026-07,cs.CL,"cs.CL, cs.AI",Benchmark/Evaluation,Theory/Methodology,0.9,benchmark,qwen2_5_7b_instruct,2026-07-11T13:35:57.874078+00:00
2607.06924,2026-07,cs.LG,"cs.LG, cs.NE",Reasoning,Efficiency/Optimization | Multimodal,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:36:07.769188+00:00
2607.06919,2026-07,cs.CV,"cs.CV, cs.LG",Reasoning,Application | Multimodal,0.8,method,qwen2_5_7b_instruct,2026-07-11T13:36:18.796400+00:00
2607.06918,2026-07,cs.CV,"cs.CV, cs.AI, cs.LG",Efficiency/Optimization,Application | Theory/Methodology,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:36:29.487974+00:00
2607.06882,2026-07,cs.RO,"cs.RO, cs.AI",Reasoning,Efficiency/Optimization,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:36:42.296054+00:00
2607.06879,2026-07,cs.LG,"cs.LG, stat.ML",Theory/Methodology,Efficiency/Optimization | Benchmark/Evaluation,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:36:52.644721+00:00
2607.06875,2026-07,cs.CV,"cs.CV, cs.LG",Multimodal,Application | Dataset/Benchmark,0.9,dataset,qwen2_5_7b_instruct,2026-07-11T13:37:02.953657+00:00
2607.06855,2026-07,cs.LG,"cs.LG, cs.CL",Reasoning,Efficiency/Optimization | Multimodal,0.9,benchmark,qwen2_5_7b_instruct,2026-07-11T13:37:13.475980+00:00
2607.06854,2026-07,cs.LG,"cs.LG, cs.AI, cs.GT",Agent/Tool Use,Efficiency/Optimization | Application,0.9,benchmark,qwen2_5_7b_instruct,2026-07-11T13:37:27.797542+00:00
2607.06845,2026-07,cs.CL,cs.CL,Alignment/Safety,Dataset/Benchmark | Theory/Methodology,0.9,dataset,qwen2_5_7b_instruct,2026-07-11T13:37:36.830818+00:00
2607.06839,2026-07,cs.LG,"cs.LG, cs.CV",Multimodal,RAG/Retrieval | Efficiency/Optimization | Benchmark/Evaluation,0.9,dataset,qwen2_5_7b_instruct,2026-07-11T13:37:51.178403+00:00
2607.06831,2026-07,cs.CL,"cs.CL, cs.AI, cs.CV, cs.LG",Alignment/Safety,Reasoning | Efficiency/Optimization,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:37:59.922686+00:00
2607.06824,2026-07,cs.RO,"cs.RO, cs.LG",Reasoning,Multimodal | Efficiency/Optimization,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:38:11.083037+00:00
2607.06818,2026-07,cs.CL,"cs.CL, cs.AI, cs.LG",Reasoning,Theory/Methodology,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:38:20.579944+00:00
2607.06802,2026-07,eess.SP,"eess.SP, cs.AI",Benchmark/Evaluation,Application | Theory/Methodology,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:38:30.540091+00:00
2607.06796,2026-07,cs.LG,"cs.LG, cs.AI",Efficiency/Optimization,Benchmark/Evaluation | Application,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:38:41.219551+00:00
2607.06772,2026-07,cs.LG,cs.LG,Efficiency/Optimization,Benchmark/Evaluation | Theory/Methodology,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:38:53.083809+00:00
2607.06764,2026-07,cs.AI,cs.AI,Agent/Tool Use,Reasoning | Benchmark/Evaluation,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:39:04.529217+00:00
2607.06763,2026-07,cs.LG,"cs.LG, cs.CL",Reasoning,Efficiency/Optimization,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:39:12.899433+00:00
2607.06757,2026-07,cs.AI,"cs.AI, cs.MA",Agent/Tool Use,,0.9,application,qwen2_5_7b_instruct,2026-07-11T13:39:21.555164+00:00
2607.06748,2026-07,cs.SE,"cs.SE, cs.AI",Agent/Tool Use,Application | Efficiency/Optimization,0.9,system,qwen2_5_7b_instruct,2026-07-11T13:39:34.127546+00:00
2607.06713,2026-07,cs.SE,"cs.SE, cs.AI",Benchmark/Evaluation,Alignment/Safety | Reasoning,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:39:57.418706+00:00
2607.06546,2026-07,cs.LG,"cs.LG, cs.AI",Theory/Methodology,,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:40:08.837156+00:00
2607.06544,2026-07,cs.AI,"cs.AI, cs.CL",Theory/Methodology,Application | Dataset/Benchmark,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:40:20.307605+00:00
2607.0654,2026-07,cs.CL,cs.CL,Reasoning,Efficiency/Optimization,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:40:31.647131+00:00
2607.06653,2026-07,cs.LG,cs.LG,Alignment/Safety,Application | Efficiency/Optimization,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:40:41.309935+00:00
2607.06527,2026-07,cs.CL,"cs.CL, cs.AI",Reasoning,Efficiency/Optimization | Theory/Methodology,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:40:51.737695+00:00
2607.06523,2026-07,cs.AI,cs.AI,Efficiency/Optimization,Benchmark/Evaluation | Theory/Methodology,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:41:03.232484+00:00
2607.06522,2026-07,cs.AI,"cs.AI, cs.CV",Alignment/Safety,Efficiency/Optimization | Multimodal,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:41:12.127693+00:00
2607.06503,2026-07,cs.AI,cs.AI,Alignment/Safety,Efficiency/Optimization | Theory/Methodology,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:41:26.043572+00:00
2607.06485,2026-07,cs.CV,"cs.CV, cs.AI",Reasoning,,0.9,benchmark,qwen2_5_7b_instruct,2026-07-11T13:41:34.925128+00:00
2607.06482,2026-07,cs.CL,"cs.CL, cs.AI",Benchmark/Evaluation,Dataset/Benchmark | Application,0.9,benchmark,qwen2_5_7b_instruct,2026-07-11T13:41:43.460980+00:00
