canonical_arxiv_id,published_month,primary_category,categories_text,primary_paradigm,secondary_paradigms,confidence,contribution_type,model_name,processed_at
2607.06481,2026-07,cs.CV,"cs.CV, cs.AI",Multimodal,Efficiency/Optimization | Reasoning,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:41:58.399866+00:00
2607.06649,2026-07,cs.CR,"cs.CR, cs.LG",Alignment/Safety,Multimodal | Benchmark/Evaluation,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:42:07.141016+00:00
2607.06461,2026-07,eess.AS,"eess.AS, cs.CL, cs.SD",Benchmark/Evaluation,Application | Multimodal,0.9,dataset,qwen2_5_7b_instruct,2026-07-11T13:42:18.127896+00:00
2607.06452,2026-07,cs.CL,"cs.CL, cs.AI",Reasoning,Application | Benchmark/Evaluation,0.9,system,qwen2_5_7b_instruct,2026-07-11T13:42:26.977253+00:00
2607.06445,2026-07,cs.CV,"cs.CV, cs.AI",Reasoning,Multimodal,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:42:36.135975+00:00
2607.06413,2026-07,stat.ME,"stat.ME, cs.AI",Reasoning,Benchmark/Evaluation,0.9,benchmark,qwen2_5_7b_instruct,2026-07-11T13:42:45.212722+00:00
2607.06402,2026-07,cs.CV,"cs.CV, cs.AI, cs.LG",Multimodal,,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:42:56.985706+00:00
2607.06364,2026-07,cs.CL,"cs.CL, cs.CR",Theory/Methodology,,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:43:07.216449+00:00
2607.06641,2026-07,cs.CL,"cs.CL, cs.AI, cs.LG",RAG/Retrieval,Alignment/Safety | Efficiency/Optimization,0.9,benchmark,qwen2_5_7b_instruct,2026-07-11T13:43:17.981471+00:00
2607.06639,2026-07,cs.LG,"cs.LG, cs.AI",Theory/Methodology,Benchmark/Evaluation,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:43:27.838331+00:00
2607.06326,2026-07,cs.AI,cs.AI,Alignment/Safety,Reasoning,0.9,other,qwen2_5_7b_instruct,2026-07-11T13:43:54.831660+00:00
2607.06309,2026-07,cs.CV,"cs.CV, cs.AI",Reasoning,Multimodal,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:44:05.874102+00:00
2607.06636,2026-07,cs.SE,"cs.SE, cs.AI, cs.LG",Reasoning,Alignment/Safety | Efficiency/Optimization,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:44:15.616772+00:00
2607.06306,2026-07,cs.SE,"cs.SE, cs.AI, cs.CV",Benchmark/Evaluation,Application | Multimodal,0.9,benchmark,qwen2_5_7b_instruct,2026-07-11T13:44:25.949216+00:00
2607.0629,2026-07,cs.LG,"cs.LG, math.PR, stat.ML",Theory/Methodology,,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:44:35.572272+00:00
2607.06269,2026-07,cs.AI,"cs.AI, cs.CL",Theory/Methodology,Alignment/Safety | Reasoning,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:44:51.686021+00:00
2607.06254,2026-07,cs.CV,"cs.CV, cs.AI",Benchmark/Evaluation,Application | Dataset/Benchmark,0.9,benchmark,qwen2_5_7b_instruct,2026-07-11T13:45:02.739458+00:00
2607.06631,2026-07,cs.CV,"cs.CV, cs.AI, cs.LG",Efficiency/Optimization,Multimodal | Benchmark/Evaluation,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:45:13.027235+00:00
2607.06229,2026-07,cs.CL,"cs.CL, cs.AI, cs.DB",Benchmark/Evaluation,Application | Theory/Methodology,0.9,benchmark,qwen2_5_7b_instruct,2026-07-11T13:45:22.807195+00:00
2607.06224,2026-07,cs.LG,cs.LG,Benchmark/Evaluation,,0.8,dataset,qwen2_5_7b_instruct,2026-07-11T13:45:34.049124+00:00
2607.06223,2026-07,cs.AI,cs.AI,Reasoning,Efficiency/Optimization,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:45:43.501868+00:00
2607.06196,2026-07,cs.CL,"cs.CL, cs.CY",Benchmark/Evaluation,Multimodal | Alignment/Safety,0.9,dataset,qwen2_5_7b_instruct,2026-07-11T13:45:55.183867+00:00
2607.06629,2026-07,cs.LG,"cs.LG, q-bio.NC",Benchmark/Evaluation,Application | Dataset/Benchmark,0.9,benchmark,qwen2_5_7b_instruct,2026-07-11T13:46:06.361023+00:00
2607.06175,2026-07,cs.CL,"cs.CL, cs.AI, cs.LG",Reasoning,Efficiency/Optimization | Benchmark/Evaluation,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:46:18.454159+00:00
2607.06626,2026-07,cs.LG,"cs.LG, q-bio.NC",Alignment/Safety,Reasoning,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:46:28.398326+00:00
2607.06163,2026-07,cs.LG,"cs.LG, cs.AI",Theory/Methodology,Reasoning | Alignment/Safety,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:46:37.171901+00:00
2607.0616,2026-07,cs.CL,"cs.CL, cs.AI",Benchmark/Evaluation,Theory/Methodology | Dataset/Benchmark,0.9,dataset,qwen2_5_7b_instruct,2026-07-11T13:46:46.776415+00:00
2607.06145,2026-07,cs.CL,cs.CL,Theory/Methodology,Reasoning | Efficiency/Optimization,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:47:07.119970+00:00
2607.0614,2026-07,cs.CL,cs.CL,Agent/Tool Use,,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:47:17.614672+00:00
2607.06623,2026-07,cs.LG,"cs.LG, cs.AI, eess.SY",Reasoning,Efficiency/Optimization | Multimodal,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:47:30.331093+00:00
2607.06127,2026-07,cs.CL,cs.CL,Theory/Methodology,Application | Dataset/Benchmark,0.8,dataset,qwen2_5_7b_instruct,2026-07-11T13:47:43.531910+00:00
2607.06105,2026-07,cs.CV,"cs.CV, cs.AI",Application,Multimodal | Efficiency/Optimization,0.9,application,qwen2_5_7b_instruct,2026-07-11T13:47:55.553336+00:00
2607.06097,2026-07,cs.CV,"cs.CV, cs.AI",Reasoning,Multimodal | Efficiency/Optimization,0.8,method,qwen2_5_7b_instruct,2026-07-11T13:48:06.646752+00:00
2607.06055,2026-07,cs.HC,"cs.HC, cs.CL",Theory/Methodology,,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:48:16.890933+00:00
2607.06054,2026-07,cs.SD,"cs.SD, cs.CL",Application,,0.9,application,qwen2_5_7b_instruct,2026-07-11T13:48:25.653649+00:00
2607.0662,2026-07,cs.CV,"cs.CV, cs.AI",Reasoning,Multimodal,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:48:34.177680+00:00
2607.06037,2026-07,cs.CR,"cs.CR, cs.LG",Application,,0.9,application,qwen2_5_7b_instruct,2026-07-11T13:48:45.528007+00:00
2607.06009,2026-07,cs.CR,"cs.CR, cs.LG, cs.SE",Theory/Methodology,Benchmark/Evaluation,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:48:57.414173+00:00
2607.06008,2026-07,cs.AI,"cs.AI, cs.CL",Benchmark/Evaluation,Agent/Tool Use | Multimodal,0.9,benchmark,qwen2_5_7b_instruct,2026-07-11T13:49:08.220136+00:00
2607.06001,2026-07,cs.AI,"cs.AI, cs.MA",Benchmark/Evaluation,Reasoning | Efficiency/Optimization,0.9,benchmark,qwen2_5_7b_instruct,2026-07-11T13:49:21.036191+00:00
2607.05992,2026-07,cs.CL,"cs.CL, cs.AI",Benchmark/Evaluation,Theory/Methodology | Application,0.9,dataset,qwen2_5_7b_instruct,2026-07-11T13:49:30.855851+00:00
2607.05985,2026-07,cs.AI,"cs.AI, cs.AR, cs.CE, eess.SY",Alignment/Safety,Reasoning | Efficiency/Optimization,0.9,benchmark,qwen2_5_7b_instruct,2026-07-11T13:49:42.944563+00:00
2607.06614,2026-07,cs.LG,"cs.LG, cs.AI",Reasoning,Efficiency/Optimization | Multimodal,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:49:52.981263+00:00
2607.05978,2026-07,cs.CV,"cs.CV, cs.AI",Multimodal,Reasoning | Efficiency/Optimization,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:50:03.201445+00:00
2607.05964,2026-07,cs.CL,"cs.CL, stat.AP",Theory/Methodology,Multimodal | Benchmark/Evaluation,0.8,analysis,qwen2_5_7b_instruct,2026-07-11T13:50:28.369458+00:00
2607.05956,2026-07,cs.AI,"cs.AI, cs.CL",Alignment/Safety,Reasoning | Multimodal,0.8,benchmark,qwen2_5_7b_instruct,2026-07-11T13:50:39.510630+00:00
2607.05955,2026-07,cs.CV,"cs.CV, cs.AI",Reasoning,Application | Efficiency/Optimization,0.8,method,qwen2_5_7b_instruct,2026-07-11T13:50:49.848642+00:00
2607.05937,2026-07,cs.CL,"cs.CL, cs.LG",Alignment/Safety,Reasoning | Efficiency/Optimization,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:50:59.963426+00:00
2607.05936,2026-07,cs.SE,"cs.SE, cs.LG",Reasoning,RAG/Retrieval | Alignment/Safety,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:51:10.028320+00:00
2607.05933,2026-07,cs.PF,"cs.PF, cs.LG",Efficiency/Optimization,,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:51:19.760036+00:00
2607.05908,2026-07,cs.LG,cs.LG,Efficiency/Optimization,Application | Benchmark/Evaluation,0.9,benchmark,qwen2_5_7b_instruct,2026-07-11T13:51:29.672803+00:00
2607.05904,2026-07,cs.LG,cs.LG,Reasoning,Efficiency/Optimization | Benchmark/Evaluation,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:51:38.908878+00:00
2607.05902,2026-07,cs.SD,"cs.SD, cs.AI",Theory/Methodology,Multimodal | Reasoning,0.8,theory,qwen2_5_7b_instruct,2026-07-11T13:51:51.236730+00:00
2607.05901,2026-07,cs.AI,cs.AI,Reasoning,Benchmark/Evaluation,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:52:00.618084+00:00
2607.06611,2026-07,cs.CL,"cs.CL, cs.AI, cs.LG, cs.SD",Reasoning,Multimodal,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:52:09.407479+00:00
2607.05891,2026-07,cs.CV,"cs.CV, cs.AI, cs.LG",Efficiency/Optimization,Benchmark/Evaluation | Theory/Methodology,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:52:18.102318+00:00
2607.05888,2026-07,cs.CR,"cs.CR, cs.AI",Agent/Tool Use,,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:52:26.181108+00:00
2607.0588,2026-07,cs.CV,"cs.CV, cs.AI",Benchmark/Evaluation,Multimodal | Efficiency/Optimization,0.9,dataset,qwen2_5_7b_instruct,2026-07-11T13:52:37.896939+00:00
2607.05872,2026-07,cs.LG,"cs.LG, math.OC, stat.ML",Efficiency/Optimization,Theory/Methodology,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:52:47.725433+00:00
2607.06609,2026-07,cs.LG,"cs.LG, cs.AI",Reasoning,Efficiency/Optimization | Benchmark/Evaluation,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:53:01.160183+00:00
2607.05863,2026-07,cs.LG,"cs.LG, cs.GT",Reasoning,Theory/Methodology,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:53:09.998546+00:00
2607.05861,2026-07,cs.CL,"cs.CL, cs.LG",Alignment/Safety,Reasoning | Theory/Methodology,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:53:18.335399+00:00
2607.05842,2026-07,cs.SE,"cs.SE, cs.AI, cs.CR",Alignment/Safety,Benchmark/Evaluation | Application,0.9,benchmark,qwen2_5_7b_instruct,2026-07-11T13:53:30.051744+00:00
2607.06605,2026-07,cs.LG,"cs.LG, stat.ML",Benchmark/Evaluation,Alignment/Safety | Efficiency/Optimization,0.9,benchmark,qwen2_5_7b_instruct,2026-07-11T13:53:39.263982+00:00
2607.05798,2026-07,cs.CV,"cs.CV, cs.AI",Reasoning,Benchmark/Evaluation,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:53:49.563882+00:00
2607.0579,2026-07,cs.AI,cs.AI,Alignment/Safety,Agent/Tool Use | Reasoning,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:53:58.322286+00:00
2607.05775,2026-07,cs.AI,cs.AI,Alignment/Safety,Agent/Tool Use | Theory/Methodology,0.9,analysis,qwen2_5_7b_instruct,2026-07-11T13:54:11.051765+00:00
2607.05773,2026-07,cs.AI,cs.AI,Agent/Tool Use,Efficiency/Optimization | Benchmark/Evaluation,0.9,system,qwen2_5_7b_instruct,2026-07-11T13:54:20.839131+00:00
2607.05761,2026-07,cs.AI,cs.AI,Theory/Methodology,Application | Dataset/Benchmark,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:54:42.885354+00:00
2607.05752,2026-07,cs.CL,"cs.CL, cs.AI",Reasoning,Efficiency/Optimization | Alignment/Safety,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:54:51.624786+00:00
2607.05722,2026-07,cs.CL,cs.CL,Reasoning,Application | Dataset/Benchmark,0.9,other,qwen2_5_7b_instruct,2026-07-11T13:55:03.409432+00:00
2607.05721,2026-07,cs.CL,cs.CL,Theory/Methodology,,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:55:12.348427+00:00
2607.06601,2026-07,cs.LG,"cs.LG, cs.AI",Efficiency/Optimization,Reasoning | Multimodal,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:55:24.527476+00:00
2607.05704,2026-07,cs.LG,"cs.LG, cs.CV",Reasoning,Efficiency/Optimization | Benchmark/Evaluation,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:55:34.239634+00:00
2607.05694,2026-07,stat.ML,"stat.ML, cs.LG",Theory/Methodology,,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:55:45.352542+00:00
2607.05691,2026-07,cs.CL,"cs.CL, cs.LG, q-bio.BM",Theory/Methodology,,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:55:54.071642+00:00
2607.05689,2026-07,cs.CL,"cs.CL, cs.SI",Benchmark/Evaluation,Theory/Methodology | Application,0.9,benchmark,qwen2_5_7b_instruct,2026-07-11T13:56:05.637946+00:00
2607.05679,2026-07,cs.CL,"cs.CL, cs.AI",Benchmark/Evaluation,Theory/Methodology | Application,0.9,other,qwen2_5_7b_instruct,2026-07-11T13:56:24.698029+00:00
2607.05669,2026-07,cs.RO,"cs.RO, cs.LG",Reasoning,Efficiency/Optimization | Application,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:56:34.307601+00:00
2607.05666,2026-07,cs.SE,"cs.SE, cs.AI",Theory/Methodology,,0.9,analysis,qwen2_5_7b_instruct,2026-07-11T13:56:42.820055+00:00
2607.05644,2026-07,cs.CL,"cs.CL, cs.AI",Theory/Methodology,,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:56:50.333048+00:00
2607.05638,2026-07,cs.SE,"cs.SE, cs.AI",Benchmark/Evaluation,,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:57:02.027641+00:00
2607.05626,2026-07,cs.CL,cs.CL,Benchmark/Evaluation,,0.9,dataset,qwen2_5_7b_instruct,2026-07-11T13:57:15.262841+00:00
2607.05615,2026-07,cs.LG,cs.LG,Efficiency/Optimization,Reasoning | Theory/Methodology,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:57:27.195053+00:00
2607.05612,2026-07,cs.CL,"cs.CL, eess.AS",Benchmark/Evaluation,,0.9,analysis,qwen2_5_7b_instruct,2026-07-11T13:57:45.628233+00:00
2607.06595,2026-07,cs.CR,"cs.CR, cs.AI",Alignment/Safety,Agent/Tool Use | Reasoning,0.9,system,qwen2_5_7b_instruct,2026-07-11T13:57:53.996458+00:00
2607.05583,2026-07,cs.CL,"cs.CL, cs.AI",Efficiency/Optimization,Reasoning,0.9,other,qwen2_5_7b_instruct,2026-07-11T13:58:05.585774+00:00
2607.05573,2026-07,cs.AI,"cs.AI, cs.CE",Reasoning,Multimodal | Theory/Methodology,0.9,benchmark,qwen2_5_7b_instruct,2026-07-11T13:58:16.530352+00:00
2607.05571,2026-07,cs.AI,"cs.AI, cs.HC",Benchmark/Evaluation,Application | Theory/Methodology,0.9,benchmark,qwen2_5_7b_instruct,2026-07-11T13:58:26.699586+00:00
2607.05568,2026-07,cs.CV,"cs.CV, cs.AI",Reasoning,Multimodal | Benchmark/Evaluation,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:58:37.565625+00:00
2607.05554,2026-07,cs.CL,"cs.CL, cs.AI",Benchmark/Evaluation,Reasoning | Alignment/Safety,0.9,benchmark,qwen2_5_7b_instruct,2026-07-11T13:58:48.262224+00:00
2607.05552,2026-07,cs.CL,"cs.CL, cs.AI, cs.CY",Reasoning,Theory/Methodology | Benchmark/Evaluation,0.9,theory,qwen2_5_7b_instruct,2026-07-11T13:58:58.043581+00:00
2607.05541,2026-07,cs.LG,"cs.LG, cs.AI",Reasoning,Efficiency/Optimization,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:59:07.869735+00:00
2607.05518,2026-07,cs.CR,"cs.CR, cs.AI",Alignment/Safety,Benchmark/Evaluation,0.9,system,qwen2_5_7b_instruct,2026-07-11T13:59:17.824305+00:00
2607.05396,2026-07,cs.CV,"cs.CV, cs.AI, cs.LG, cs.RO",Agent/Tool Use,Reasoning | Application,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:59:28.370875+00:00
2607.05394,2026-07,cs.LG,"cs.LG, cs.AI, cs.CL",Reasoning,Efficiency/Optimization | Theory/Methodology,0.9,method,qwen2_5_7b_instruct,2026-07-11T13:59:39.322445+00:00
2607.05365,2026-07,cs.CL,"cs.CL, cs.AI, eess.AS",Benchmark/Evaluation,Theory/Methodology | Application,0.9,benchmark,qwen2_5_7b_instruct,2026-07-11T13:59:51.692703+00:00
